# GROUP NAME: compare
# SECTION: immune
GO:0002376 # BP    564 L01 D01 M     immune system process
GO:0050789 # BP 11,120 L01 D01 B     regulation of biological process
GO:0009987 # BP 10,645 L01 D01 C     cellular process
GO:0044699 # BP  9,650 L01 D01 D     single-organism process
GO:0008152 # BP  6,415 L01 D01 E     metabolic process
GO:0032502 # BP  3,169 L01 D01 F     developmental process
GO:0050896 # BP  2,206 L01 D01 G     response to stimulus
GO:0051179 # BP  2,138 L01 D01 H     localization
GO:0071840 # BP  1,767 L01 D01 I     cellular component organization or biogenesis
GO:0051704 # BP  1,480 L01 D01 J     multi-organism process
GO:0032501 # BP    997 L01 D01 K     multicellular organismal process
GO:0022414 # BP    847 L01 D01 L     reproductive process
GO:0040011 # BP    394 L01 D01 N     locomotion
GO:0007610 # BP    219 L01 D01 O     behavior
GO:0009058 # BP  1,771 L02 D02 E     biosynthetic process
GO:0009056 # BP  1,368 L02 D02 E     catabolic process
GO:0048856 # BP  1,016 L02 D02 F     anatomical structure development
GO:0006950 # BP    492 L02 D02 G     response to stress
GO:0048646 # BP    329 L02 D02 F     anatomical structure formation involved in morphogenesis
GO:0008283 # BP    158 L02 D02 D     cell proliferation
GO:0044281 # BP  2,139 L03 D03 DE    small molecule metabolic process
GO:0034641 # BP  2,031 L03 D03 CE    cellular nitrogen compound metabolic process
GO:0006810 # BP  1,639 L03 D03 H     transport
GO:0007165 # BP    717 L03 D03 AB    signal transduction
GO:0022607 # BP    512 L03 D03 CI    cellular component assembly
GO:0051186 # BP    373 L03 D03 CE    cofactor metabolic process
GO:0061024 # BP    273 L03 D03 CI    membrane organization
GO:0042592 # BP    253 L03 D03 A     homeostatic process
GO:0006091 # BP    109 L03 D03 CE    generation of precursor metabolites and energy
GO:0007568 # BP     17 L03 D03 DF    aging
GO:0030154 # BP    494 L04 D04 CDF   cell differentiation
GO:0055085 # BP    330 L04 D04 H     transmembrane transport
GO:0065003 # BP    288 L04 D04 CI    macromolecular complex assembly
GO:0048870 # BP    258 L02 D04 CDN   cell motility
GO:0007010 # BP    129 L04 D04 CI    cytoskeleton organization
GO:0016192 # BP    125 L04 D04 H     vesicle-mediated transport
GO:0007267 # BP     99 L03 D04 CDR   cell-cell signaling
GO:0030198 # BP     27 L04 D04 CDI   extracellular matrix organization
GO:0006461 # BP    172 L05 D05 CI    protein complex assembly
GO:0000902 # BP     65 L04 D05 CDFI  cell morphogenesis
GO:0006464 # BP    917 L05 D06 CE    cellular protein modification process
GO:0006259 # BP    300 L04 D06 CE    DNA metabolic process
GO:0006412 # BP      5 L05 D07 CE    translation
GO:0006397 # BP     18 L06 D08 CE    mRNA processing
